Track for Colin                2010
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/06/2010 07:34:30     27.093 N     66.429 W
08/06/2010 07:36:31     27.094 N     66.429 W
08/06/2010 07:38:31     27.096 N     66.429 W
08/06/2010 07:40:30     27.097 N     66.429 W
08/06/2010 07:42:30     27.098 N     66.428 W
08/06/2010 07:44:31     27.100 N     66.428 W
08/06/2010 07:46:31     27.101 N     66.428 W
08/06/2010 07:48:30     27.102 N     66.428 W
08/06/2010 07:50:30     27.103 N     66.428 W
08/06/2010 07:52:31     27.104 N     66.428 W
08/06/2010 07:54:31     27.106 N     66.428 W
08/06/2010 07:56:30     27.107 N     66.428 W
08/06/2010 07:58:30     27.108 N     66.427 W
08/06/2010 08:00:30     27.109 N     66.427 W
08/06/2010 08:02:30     27.110 N     66.427 W
08/06/2010 08:04:31     27.111 N     66.427 W
08/06/2010 08:06:31     27.113 N     66.427 W
08/06/2010 08:08:31     27.114 N     66.427 W
08/06/2010 08:10:30     27.115 N     66.427 W
08/06/2010 08:12:30     27.116 N     66.427 W
08/06/2010 08:14:30     27.117 N     66.426 W
08/06/2010 08:16:30     27.118 N     66.426 W
08/06/2010 08:18:31     27.119 N     66.426 W
08/06/2010 08:20:31     27.120 N     66.426 W
08/06/2010 08:22:31     27.121 N     66.426 W
08/06/2010 08:24:31     27.122 N     66.426 W
08/06/2010 08:26:30     27.123 N     66.426 W
08/06/2010 08:28:30     27.124 N     66.426 W
08/06/2010 08:30:30     27.125 N     66.425 W
08/06/2010 08:32:30     27.126 N     66.425 W
08/06/2010 08:34:31     27.127 N     66.425 W
08/06/2010 08:36:31     27.128 N     66.425 W
08/06/2010 08:38:31     27.129 N     66.425 W
08/06/2010 08:40:30     27.130 N     66.425 W
08/06/2010 08:42:30     27.131 N     66.425 W
08/06/2010 08:44:30     27.132 N     66.425 W
08/06/2010 08:46:30     27.133 N     66.425 W
08/06/2010 08:48:31     27.134 N     66.425 W
08/06/2010 08:50:31     27.135 N     66.425 W
08/06/2010 08:52:31     27.136 N     66.425 W
08/06/2010 08:54:31     27.137 N     66.424 W
08/06/2010 08:56:30     27.138 N     66.424 W
08/06/2010 08:58:30     27.139 N     66.424 W
08/06/2010 09:00:30     27.140 N     66.424 W
08/06/2010 09:02:30     27.141 N     66.424 W
08/06/2010 09:04:31     27.141 N     66.424 W
08/06/2010 09:06:31     27.142 N     66.424 W
08/06/2010 09:08:31     27.143 N     66.424 W
08/06/2010 09:10:30     27.144 N     66.424 W
08/06/2010 09:12:30     27.145 N     66.424 W
08/06/2010 09:14:30     27.146 N     66.424 W
08/06/2010 09:16:30     27.147 N     66.424 W
08/06/2010 09:18:31     27.148 N     66.424 W
08/06/2010 09:20:31     27.149 N     66.424 W
08/06/2010 09:22:31     27.150 N     66.424 W
08/06/2010 09:24:31     27.151 N     66.424 W
08/06/2010 09:26:30     27.152 N     66.424 W
08/06/2010 09:28:30     27.152 N     66.424 W
08/06/2010 09:30:30     27.153 N     66.424 W
08/06/2010 09:32:30     27.154 N     66.424 W
08/06/2010 09:34:31     27.155 N     66.424 W
08/06/2010 09:36:31     27.156 N     66.424 W
08/06/2010 09:38:31     27.157 N     66.424 W
08/06/2010 09:40:30     27.158 N     66.424 W
08/06/2010 09:42:30     27.159 N     66.425 W
08/06/2010 09:44:30     27.160 N     66.425 W
08/06/2010 09:46:30     27.161 N     66.425 W
08/06/2010 09:48:31     27.162 N     66.425 W
08/06/2010 09:50:31     27.163 N     66.425 W
08/06/2010 09:52:31     27.164 N     66.425 W
08/06/2010 09:54:31     27.165 N     66.425 W
08/06/2010 09:56:30     27.165 N     66.425 W
08/06/2010 09:58:30     27.166 N     66.425 W
08/06/2010 10:00:30     27.167 N     66.426 W
08/06/2010 10:02:30     27.168 N     66.426 W
08/06/2010 10:04:31     27.169 N     66.426 W
08/06/2010 10:06:31     27.170 N     66.426 W
08/06/2010 10:08:31     27.171 N     66.426 W
08/06/2010 10:10:30     27.172 N     66.426 W
08/06/2010 10:12:30     27.173 N     66.427 W
08/06/2010 10:14:30     27.174 N     66.427 W
08/06/2010 10:16:30     27.175 N     66.427 W
08/06/2010 10:18:31     27.176 N     66.427 W
