Track,for,Omar,2008,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
10/13/2008,19:52:00,14.662,N,69.539,W
10/13/2008,19:53:59,14.659,N,69.536,W
10/13/2008,19:55:59,14.656,N,69.534,W
10/13/2008,19:58:00,14.653,N,69.532,W
10/13/2008,20:00:00,14.65,N,69.53,W
10/13/2008,20:01:59,14.647,N,69.527,W
10/13/2008,20:04:00,14.644,N,69.525,W
10/13/2008,20:06:00,14.641,N,69.523,W
10/13/2008,20:07:59,14.638,N,69.521,W
10/13/2008,20:09:59,14.635,N,69.518,W
10/13/2008,20:12:00,14.632,N,69.516,W
10/13/2008,20:14:00,14.629,N,69.514,W
10/13/2008,20:15:59,14.627,N,69.512,W
10/13/2008,20:17:59,14.624,N,69.509,W
10/13/2008,20:20:00,14.621,N,69.507,W
10/13/2008,20:22:00,14.618,N,69.505,W
10/13/2008,20:23:59,14.615,N,69.502,W
10/13/2008,20:25:59,14.612,N,69.5,W
10/13/2008,20:28:00,14.609,N,69.498,W
10/13/2008,20:30:00,14.606,N,69.495,W
10/13/2008,20:31:59,14.603,N,69.493,W
10/13/2008,20:34:00,14.6,N,69.491,W
10/13/2008,20:36:00,14.597,N,69.488,W
10/13/2008,20:37:59,14.594,N,69.486,W
10/13/2008,20:39:59,14.591,N,69.484,W
10/13/2008,20:42:00,14.588,N,69.481,W
10/13/2008,20:44:00,14.585,N,69.479,W
10/13/2008,20:45:59,14.582,N,69.477,W
10/13/2008,20:47:59,14.579,N,69.474,W
10/13/2008,20:50:00,14.576,N,69.472,W
10/13/2008,20:52:00,14.573,N,69.469,W
10/13/2008,20:53:59,14.57,N,69.467,W
10/13/2008,20:55:59,14.567,N,69.465,W
10/13/2008,20:58:00,14.564,N,69.462,W
10/13/2008,21:00:00,14.561,N,69.46,W
10/13/2008,21:01:59,14.558,N,69.457,W
10/13/2008,21:04:00,14.555,N,69.455,W
10/13/2008,21:06:00,14.552,N,69.452,W
10/13/2008,21:07:59,14.549,N,69.45,W
10/13/2008,21:09:59,14.546,N,69.448,W
10/13/2008,21:12:00,14.543,N,69.445,W
10/13/2008,21:14:00,14.54,N,69.443,W
10/13/2008,21:15:59,14.537,N,69.44,W
10/13/2008,21:17:59,14.534,N,69.438,W
10/13/2008,21:20:00,14.531,N,69.435,W
10/13/2008,21:22:00,14.528,N,69.433,W
10/13/2008,21:23:59,14.525,N,69.43,W
10/13/2008,21:25:59,14.522,N,69.428,W
