Track,for,Gabrielle,2001,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/13/2001,8:38:00,24.868,N,84.687,W,1
9/13/2001,8:40:00,24.869,N,84.683,W,1
9/13/2001,8:42:00,24.869,N,84.678,W,1
9/13/2001,8:44:00,24.87,N,84.673,W,1
9/13/2001,8:45:59,24.871,N,84.669,W,1
9/13/2001,8:47:59,24.872,N,84.664,W,1
9/13/2001,8:49:59,24.873,N,84.66,W,1
9/13/2001,8:51:59,24.874,N,84.655,W,1
9/13/2001,8:54:00,24.875,N,84.651,W,1
9/13/2001,8:56:00,24.876,N,84.646,W,1
9/13/2001,8:58:00,24.877,N,84.641,W,1
9/13/2001,9:00:00,24.878,N,84.637,W,1
9/13/2001,9:01:59,24.879,N,84.632,W,1
9/13/2001,9:03:59,24.88,N,84.628,W,1
9/13/2001,9:05:59,24.881,N,84.623,W,1
9/13/2001,9:08:00,24.882,N,84.619,W,1
9/13/2001,9:10:00,24.883,N,84.614,W,1
9/13/2001,9:12:00,24.884,N,84.61,W,1
9/13/2001,9:14:00,24.885,N,84.605,W,1
9/13/2001,9:15:59,24.886,N,84.601,W,1
9/13/2001,9:17:59,24.887,N,84.597,W,1
9/13/2001,9:19:59,24.889,N,84.592,W,1
9/13/2001,9:21:59,24.89,N,84.588,W,1
9/13/2001,9:24:00,24.891,N,84.583,W,1
9/13/2001,9:26:00,24.892,N,84.579,W,1
9/13/2001,9:28:00,24.893,N,84.575,W,1
9/13/2001,9:30:00,24.894,N,84.57,W,1
9/13/2001,9:31:59,24.895,N,84.566,W,1
9/13/2001,9:33:59,24.897,N,84.561,W,1
9/13/2001,9:35:59,24.898,N,84.557,W,1
9/13/2001,9:38:00,24.899,N,84.553,W,1
9/13/2001,9:40:00,24.9,N,84.549,W,1
9/13/2001,9:42:00,24.901,N,84.544,W,1
9/13/2001,9:44:00,24.903,N,84.54,W,1
9/13/2001,9:45:59,24.904,N,84.536,W,1
9/13/2001,9:47:59,24.905,N,84.532,W,1
9/13/2001,9:49:59,24.906,N,84.527,W,1
9/13/2001,9:51:59,24.908,N,84.523,W,1
9/13/2001,9:54:00,24.909,N,84.519,W,1
9/13/2001,9:56:00,24.91,N,84.515,W,1
9/13/2001,9:58:00,24.911,N,84.511,W,1
9/13/2001,10:00:00,24.913,N,84.506,W,1
9/13/2001,10:01:59,24.914,N,84.502,W,1
9/13/2001,10:03:59,24.915,N,84.498,W,1
9/13/2001,10:05:59,24.917,N,84.494,W,1
9/13/2001,10:08:00,24.918,N,84.49,W,1
9/13/2001,10:10:00,24.919,N,84.486,W,1
9/13/2001,10:12:00,24.921,N,84.482,W,1
9/13/2001,10:14:00,24.922,N,84.478,W,1
9/13/2001,10:15:59,24.923,N,84.474,W,1
9/13/2001,10:17:59,24.925,N,84.47,W,1
9/13/2001,10:19:59,24.926,N,84.466,W,1
9/13/2001,10:21:59,24.927,N,84.462,W,1
9/13/2001,10:24:00,24.929,N,84.458,W,1
9/13/2001,10:26:00,24.93,N,84.454,W,1
9/13/2001,10:28:00,24.932,N,84.451,W,1
9/13/2001,10:30:00,24.933,N,84.447,W,1
9/13/2001,10:31:59,24.934,N,84.443,W,1
9/13/2001,10:33:59,24.936,N,84.439,W,1
9/13/2001,10:35:59,24.937,N,84.435,W,1
9/13/2001,10:38:00,24.939,N,84.432,W,1
9/13/2001,10:40:00,24.94,N,84.428,W,1
9/13/2001,10:42:00,24.941,N,84.424,W,1
9/13/2001,10:44:00,24.943,N,84.42,W,1
9/13/2001,10:45:59,24.944,N,84.417,W,1
9/13/2001,10:47:59,24.946,N,84.413,W,1
9/13/2001,10:49:59,24.947,N,84.409,W,1
9/13/2001,10:51:59,24.949,N,84.406,W,1
9/13/2001,10:54:00,24.95,N,84.402,W,1
9/13/2001,10:56:00,24.952,N,84.399,W,1
9/13/2001,10:58:00,24.953,N,84.395,W,1
9/13/2001,11:00:00,24.955,N,84.392,W,1
9/13/2001,11:01:59,24.956,N,84.388,W,1
9/13/2001,11:03:59,24.957,N,84.385,W,1
9/13/2001,11:05:59,24.959,N,84.381,W,1
9/13/2001,11:08:00,24.96,N,84.378,W,1
9/13/2001,11:10:00,24.962,N,84.375,W,1
9/13/2001,11:12:00,24.963,N,84.371,W,1
9/13/2001,11:14:00,24.965,N,84.368,W,1
9/13/2001,11:15:59,24.966,N,84.365,W,1
9/13/2001,11:17:59,24.968,N,84.361,W,1
9/13/2001,11:19:59,24.969,N,84.358,W,1
9/13/2001,11:21:59,24.971,N,84.355,W,1
9/13/2001,11:24:00,24.972,N,84.352,W,1
9/13/2001,11:26:00,24.974,N,84.349,W,1
9/13/2001,11:28:00,24.975,N,84.346,W,1
9/13/2001,11:30:00,24.977,N,84.343,W,1
9/13/2001,11:31:59,24.979,N,84.339,W,1
9/13/2001,11:33:59,24.98,N,84.336,W,1
9/13/2001,11:35:59,24.982,N,84.333,W,1
9/13/2001,11:38:00,24.983,N,84.331,W,1
9/13/2001,11:40:00,24.985,N,84.328,W,1
