Track,for,Danielle,2010,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
8/27/2010,11:48:00,26.652,N,59.216,W,4
8/27/2010,11:49:59,26.655,N,59.221,W,4
8/27/2010,11:52:00,26.657,N,59.226,W,4
8/27/2010,11:53:59,26.659,N,59.231,W,4
8/27/2010,11:56:00,26.661,N,59.236,W,4
8/27/2010,11:57:59,26.663,N,59.241,W,4
8/27/2010,12:00:00,26.665,N,59.246,W,4
8/27/2010,12:02:00,26.667,N,59.251,W,4
8/27/2010,12:03:59,26.669,N,59.256,W,4
8/27/2010,12:06:00,26.671,N,59.261,W,4
8/27/2010,12:07:59,26.674,N,59.266,W,4
8/27/2010,12:10:00,26.676,N,59.271,W,4
8/27/2010,12:11:59,26.678,N,59.276,W,4
8/27/2010,12:14:00,26.68,N,59.281,W,4
8/27/2010,12:15:59,26.682,N,59.286,W,4
8/27/2010,12:18:00,26.684,N,59.292,W,4
8/27/2010,12:19:59,26.686,N,59.297,W,4
8/27/2010,12:22:00,26.688,N,59.302,W,4
8/27/2010,12:23:59,26.69,N,59.307,W,4
8/27/2010,12:26:00,26.692,N,59.312,W,4
8/27/2010,12:27:59,26.694,N,59.317,W,4
8/27/2010,12:30:00,26.696,N,59.322,W,4
8/27/2010,12:32:00,26.698,N,59.327,W,4
8/27/2010,12:33:59,26.7,N,59.332,W,4
8/27/2010,12:36:00,26.703,N,59.337,W,4
8/27/2010,12:37:59,26.705,N,59.342,W,4
8/27/2010,12:40:00,26.707,N,59.347,W,4
8/27/2010,12:41:59,26.709,N,59.352,W,4
8/27/2010,12:44:00,26.711,N,59.357,W,4
8/27/2010,12:45:59,26.713,N,59.362,W,4
8/27/2010,12:48:00,26.715,N,59.367,W,4
8/27/2010,12:49:59,26.717,N,59.372,W,4
8/27/2010,12:52:00,26.719,N,59.377,W,4
8/27/2010,12:53:59,26.721,N,59.382,W,4
8/27/2010,12:56:00,26.723,N,59.387,W,4
8/27/2010,12:57:59,26.725,N,59.392,W,4
8/27/2010,13:00:00,26.727,N,59.397,W,4
8/27/2010,13:02:00,26.729,N,59.402,W,4
8/27/2010,13:03:59,26.731,N,59.407,W,4
8/27/2010,13:06:00,26.733,N,59.412,W,4
8/27/2010,13:07:59,26.735,N,59.417,W,4
8/27/2010,13:10:00,26.737,N,59.422,W,4
8/27/2010,13:11:59,26.739,N,59.427,W,4
8/27/2010,13:14:00,26.741,N,59.432,W,4
8/27/2010,13:15:59,26.743,N,59.437,W,4
8/27/2010,13:18:00,26.745,N,59.442,W,4
8/27/2010,13:19:59,26.747,N,59.447,W,4
8/27/2010,13:22:00,26.749,N,59.452,W,4
8/27/2010,13:23:59,26.751,N,59.457,W,4
8/27/2010,13:26:00,26.752,N,59.462,W,4
8/27/2010,13:27:59,26.754,N,59.467,W,4
8/27/2010,13:30:00,26.756,N,59.472,W,4
8/27/2010,13:32:00,26.758,N,59.477,W,4
8/27/2010,13:33:59,26.76,N,59.482,W,4
8/27/2010,13:36:00,26.762,N,59.487,W,4
8/27/2010,13:37:59,26.764,N,59.492,W,4
8/27/2010,13:40:00,26.766,N,59.497,W,4
8/27/2010,13:41:59,26.768,N,59.502,W,4
8/27/2010,13:44:00,26.77,N,59.507,W,4
8/27/2010,13:45:59,26.772,N,59.512,W,4
8/27/2010,13:48:00,26.774,N,59.517,W,4
8/27/2010,13:49:59,26.776,N,59.522,W,4
8/27/2010,13:52:00,26.778,N,59.527,W,4
8/27/2010,13:53:59,26.78,N,59.532,W,4
8/27/2010,13:56:00,26.782,N,59.537,W,4
8/27/2010,13:57:59,26.783,N,59.542,W,4
8/27/2010,14:00:00,26.785,N,59.547,W,4
8/27/2010,14:02:00,26.787,N,59.552,W,4
8/27/2010,14:03:59,26.789,N,59.557,W,4
8/27/2010,14:06:00,26.791,N,59.562,W,4
8/27/2010,14:07:59,26.793,N,59.567,W,4
8/27/2010,14:10:00,26.795,N,59.572,W,4
8/27/2010,14:11:59,26.797,N,59.577,W,4
8/27/2010,14:14:00,26.799,N,59.582,W,4
8/27/2010,14:15:59,26.801,N,59.587,W,4
8/27/2010,14:18:00,26.802,N,59.592,W,4
8/27/2010,14:19:59,26.804,N,59.597,W,4
8/27/2010,14:22:00,26.806,N,59.602,W,4
8/27/2010,14:23:59,26.808,N,59.607,W,4
8/27/2010,14:26:00,26.81,N,59.612,W,4
8/27/2010,14:27:59,26.812,N,59.617,W,4
8/27/2010,14:30:00,26.814,N,59.622,W,4
8/27/2010,14:32:00,26.816,N,59.627,W,4
8/27/2010,14:33:59,26.817,N,59.632,W,4
8/27/2010,14:36:00,26.819,N,59.637,W,4
8/27/2010,14:37:59,26.821,N,59.642,W,4
8/27/2010,14:40:00,26.823,N,59.647,W,4
8/27/2010,14:41:59,26.825,N,59.652,W,4
8/27/2010,14:44:00,26.827,N,59.657,W,4
8/27/2010,14:45:59,26.829,N,59.662,W,4
8/27/2010,14:48:00,26.83,N,59.667,W,4
8/27/2010,14:49:59,26.832,N,59.672,W,4
8/27/2010,14:52:00,26.834,N,59.677,W,4
8/27/2010,14:53:59,26.836,N,59.682,W,4
8/27/2010,14:56:00,26.838,N,59.687,W,4
8/27/2010,14:57:59,26.84,N,59.692,W,4
8/27/2010,15:00:00,26.842,N,59.697,W,4
8/27/2010,15:02:00,26.843,N,59.701,W,4
8/27/2010,15:03:59,26.845,N,59.706,W,4
8/27/2010,15:06:00,26.847,N,59.711,W,4
8/27/2010,15:07:59,26.849,N,59.716,W,4
8/27/2010,15:10:00,26.851,N,59.721,W,4
8/27/2010,15:11:59,26.853,N,59.726,W,4
8/27/2010,15:14:00,26.854,N,59.731,W,4
8/27/2010,15:15:59,26.856,N,59.736,W,4
8/27/2010,15:18:00,26.858,N,59.741,W,4
8/27/2010,15:19:59,26.86,N,59.746,W,4
8/27/2010,15:22:00,26.862,N,59.751,W,4
8/27/2010,15:23:59,26.864,N,59.756,W,4
8/27/2010,15:26:00,26.865,N,59.761,W,4
8/27/2010,15:27:59,26.867,N,59.766,W,4
8/27/2010,15:30:00,26.869,N,59.771,W,4
8/27/2010,15:32:00,26.871,N,59.776,W,4
8/27/2010,15:33:59,26.873,N,59.781,W,4
8/27/2010,15:36:00,26.874,N,59.786,W,4
8/27/2010,15:37:59,26.876,N,59.791,W,4
8/27/2010,15:40:00,26.878,N,59.796,W,4
8/27/2010,15:41:59,26.88,N,59.8,W,4
8/27/2010,15:44:00,26.882,N,59.805,W,4
8/27/2010,15:45:59,26.883,N,59.81,W,4
8/27/2010,15:48:00,26.885,N,59.815,W,4
8/27/2010,15:49:54,26.887,N,59.82,W,4
8/27/2010,15:51:53,26.888,N,59.825,W,4
8/27/2010,15:53:54,26.89,N,59.83,W,4
8/27/2010,15:55:53,26.891,N,59.834,W,4
8/27/2010,15:57:54,26.893,N,59.839,W,4
8/27/2010,15:59:53,26.894,N,59.844,W,4
8/27/2010,16:01:53,26.896,N,59.849,W,4
8/27/2010,16:03:54,26.897,N,59.854,W,4
8/27/2010,16:05:54,26.899,N,59.858,W,4
8/27/2010,16:07:53,26.9,N,59.863,W,4
8/27/2010,16:09:54,26.902,N,59.868,W,4
8/27/2010,16:11:54,26.903,N,59.873,W,4
8/27/2010,16:13:53,26.905,N,59.877,W,4
8/27/2010,16:15:53,26.906,N,59.882,W,4
8/27/2010,16:17:54,26.908,N,59.887,W,4
8/27/2010,16:19:54,26.909,N,59.891,W,4
8/27/2010,16:21:53,26.911,N,59.896,W,4
8/27/2010,16:23:53,26.912,N,59.901,W,4
8/27/2010,16:25:54,26.914,N,59.906,W,4
8/27/2010,16:27:54,26.915,N,59.91,W,4
8/27/2010,16:29:53,26.917,N,59.915,W,4
8/27/2010,16:31:53,26.918,N,59.92,W,4
8/27/2010,16:33:54,26.92,N,59.924,W,4
8/27/2010,16:35:54,26.921,N,59.929,W,4
8/27/2010,16:37:53,26.923,N,59.934,W,4
8/27/2010,16:39:54,26.924,N,59.938,W,4
8/27/2010,16:41:54,26.926,N,59.943,W,4
